Time,Substream_ID,<ticker>,<vol>,<close>,Critical
35566,49,CBLI,150,6.784,False
35567,49,CBNJ,100,8.49,False
35568,49,CBOE,1000,24.0,False
35569,49,CBPO,200,11.5,False
35570,49,CBRL,3119,53.02,False
35571,49,CBRX,200,1.35,False
35572,49,CBSH,600,38.28,False
35573,49,CBST,7469,21.75,False
35574,49,CCBG,100,12.68,False
35575,49,CCCL,300,7.54,False
35576,49,CCIH,1000,28.4,False
35577,49,CCMP,1200,42.01,False
35578,49,CCNE,1300,14.72,False
35579,49,CCOI,3963,12.31,False
35580,49,CCRN,800,7.94,False
35581,49,CDNS,5400,7.94,False
35582,49,CDTI,200,17.04,False
35583,49,CDXS,7572,10.0,False
35584,49,CDZI,100,11.3,False
35585,49,CECO,5690,18.04,False
35586,49,CELG,10271,60.34,False
35587,49,CENT,700,9.5,False
35588,49,CENTA,2000,9.59,False
35589,49,CENX,7050,14.13,False
35590,49,CERN,12782,92.85,False
35591,49,CERS,1600,2.42,False
35592,49,CETV,2992,19.27,False
35593,49,CEVA,1600,22.9,False
35594,49,CFFN,3700,23.37,False
35595,49,CFNB,100,13.94,False
35596,49,CFNL,486,10.71,False
35597,49,CGNX,1958,28.81,False
35598,49,CHCO,700,32.48,False
35599,49,CHDN,200,40.37,False
35600,49,CHDX,1100,16.07,False
35601,49,CHFC,500,21.4,False
35602,49,CHKE,1200,20.0,False
35603,49,CHKP,9407,44.1,False
35604,49,CHLN,500,2.38,False
35605,49,CHNR,100,16.0196,False
35606,49,CHRW,3292,75.34,False
35607,49,CHSCP,200,29.25,False
35608,49,CIDM,5000,1.43,False
35609,49,CIMT,6290,2.37,False
35610,49,CINF,3100,30.815,False
35611,49,CISG,2012,22.25,False
35612,49,CJJD,3900,4.47,False
35613,49,CKEC,100,8.51,False
35614,49,CKSW,100,6.49,False
35615,49,CLBH,1400,3.15,False
35616,49,CLCT,200,14.77,False
35617,49,CLDX,400,4.16,False
35618,49,CLMS,497,12.01,False
35619,49,CLMT,1000,21.91,False
35620,49,CLNE,3782,13.67,False
35621,49,CLRO,1000,3.819,False
35622,49,CLSN,1400,2.87,False
35623,49,CLUB,700,3.5,False
35624,49,CMCO,1500,17.4,False
35625,49,CMCSA,140442,20.89,False
35626,49,CMCSK,12700,19.72,False
35627,49,CME,1300,298.32,False
35628,49,CMLS,100,3.54,False
35629,49,CMTL,7100,30.08,False
35630,49,CNIT,4828,5.312,False
35631,49,CNMD,1500,22.91,False
35632,49,CNQR,2906,52.61,False
35633,49,CNSL,1100,18.645,False
35634,49,CNTF,100,3.91,False
35635,49,CNTY,100,2.29,False
35636,49,COBZ,283,5.14,False
35637,49,COCO,13867,4.13,False
35638,49,COHR,600,43.03,False
35639,49,COHU,100,14.9,False
35640,49,COKE,500,58.33,False
35641,49,COLB,1115,17.9,False
35642,49,COLM,1085,56.91,False
35643,49,CONN,400,3.24,False
35644,49,COOL,48405,0.8,False
35645,49,CORE,800,36.54,False
35646,49,CORT,3000,4.13,False
35647,49,COSI,200,1.13,False
35648,49,COST,12849,68.69,False
35649,49,COWN,200,4.3,False
35650,49,CPHD,1420,20.73,False
35651,49,CPIX,300,6.945,False
