Time,Substream_ID,timestamp,jobId,machineId,status,priority,Critical
315,23,602571355,6251537638,255797162,4,2,False
316,23,1442204692,6251726235,255797162,1,2,False
317,23,2178763659,6251803864,255797162,1,2,False
318,23,2889402639,6251803864,255797162,4,2,False
319,23,3147522763,6251726235,255797162,5,2,False
320,23,3413245505,6251892565,255797162,1,2,False
321,23,4019334395,6251892565,255797162,4,2,False
322,23,4207127265,6251938667,255797162,1,0,False
323,23,4358794892,6251938667,255797162,4,0,True
324,24,602571375,6251537638,226149974,4,2,False
325,24,763192268,6251674199,226149974,1,2,False
326,24,913978468,6251674199,226149974,4,2,False
327,24,1347397091,6251711373,226149974,1,2,False
328,24,1426239772,6251723929,226149974,1,2,False
329,24,1601637156,6251754480,226149974,1,2,False
330,24,1721924548,6251754480,226149974,4,2,False
331,24,2140237353,6251784940,226149974,1,2,False
332,24,2144396496,6251787910,226149974,1,2,False
333,24,2493715990,6251784940,226149974,4,2,False
334,24,2537400231,6251787910,226149974,4,2,False
335,24,2622356076,6251723929,226149974,4,2,False
336,24,2640762186,6251849958,226149974,1,2,False
337,24,2796438621,6251849958,226149974,4,2,False
338,24,4053686676,6251929399,226149974,1,0,False
339,24,4221444581,6251929399,226149974,5,0,False
340,24,4502775720,6251711373,226149974,5,2,False
341,24,4841045474,6251969145,226149974,1,2,False
342,24,5357333011,6251969145,226149974,4,2,True
343,25,602571408,6251537638,1302506,4,2,False
344,25,633233785,6251630964,1302506,4,2,False
345,25,641905108,515042969,1302506,1,0,False
346,25,658721567,515042969,1302506,1,0,False
347,25,734881556,515042969,1302506,1,0,False
348,25,763195357,6251674199,1302506,1,2,False
349,25,1055571952,6251674199,1302506,4,2,False
350,25,1087324218,515042969,1302506,1,0,False
351,25,1099158178,515042969,1302506,1,0,False
352,25,1209370413,515042969,1302506,1,0,False
353,25,1294104454,515042969,1302506,1,0,False
354,25,1299025647,515042969,1302506,1,0,False
355,25,1373719818,6251712256,1302506,1,2,False
356,25,1442209984,6251726235,1302506,1,2,False
357,25,1792053352,6251712256,1302506,5,2,False
358,25,2140250289,6251784940,1302506,1,2,False
359,25,2151677632,6251795690,1302506,1,2,False
360,25,2502006770,6251784940,1302506,4,2,False
361,25,2640769174,6251849958,1302506,1,2,False
362,25,2812928088,6251849958,1302506,4,2,False
363,25,3098264851,6251726235,1302506,4,2,False
364,25,3335205167,6251795690,1302506,5,2,False
365,25,3464185904,515042969,1302506,1,0,False
366,25,3709921004,515042969,1302506,1,0,False
367,25,4315788756,6251949326,1302506,1,2,False
368,25,4367036092,6251951306,1302506,1,2,False
369,25,4560126945,6251951306,1302506,4,2,True
370,26,602571435,6251537638,765557,4,2,False
371,26,1109623499,6251699911,765557,1,0,False
372,26,1561596668,6251749146,765557,1,2,False
373,26,1601635331,6251753305,765557,1,2,False
374,26,1738184352,6251753305,765557,4,2,False
375,26,1756129961,6251749146,765557,4,2,False
376,26,2144398633,6251787910,765557,1,2,False
377,26,2220842810,6221861800,765557,2,0,False
378,26,2220842819,6251812952,765557,1,2,False
379,26,2573430267,6251787910,765557,4,2,False
380,26,3527460709,6251899333,765557,1,2,False
381,26,3684886695,6251899333,765557,4,2,False
382,26,4225981427,6251941721,765557,1,2,False
383,26,4350834756,6251941721,765557,4,2,False
384,26,4834690824,6251812952,765557,4,2,False
385,26,5000180546,6251812952,765557,1,2,False
386,26,5213614243,6251812952,765557,4,2,True
387,27,602571522,6251537638,711701,4,2,False
388,27,1426225201,6251722714,711701,1,2,False
389,27,1574502615,6251749537,711701,1,2,False
390,27,1601639863,6251754480,711701,1,2,False
391,27,1738184556,6251754480,711701,4,2,False
392,27,1796555332,6251749537,711701,5,2,False
393,27,1904258369,6251722714,711701,4,2,False
394,27,2102280179,6251779174,711701,1,2,False
395,27,2241467823,6221861800,711701,2,0,False
396,27,2241467832,6251812952,711701,1,2,False
397,27,2545810863,6251779174,711701,4,2,False
398,27,2789562286,6251860459,711701,1,2,False
399,27,2944659335,6251860459,711701,4,2,False
400,27,3095126395,6251878529,711701,1,2,False
401,27,3413243878,6251892565,711701,1,2,False
402,27,4080311280,6251892565,711701,4,2,False
403,27,4598289559,6251878529,711701,4,2,False
404,27,4952041054,6251983768,711701,1,0,False
405,27,5026384920,6251812952,711701,4,2,False
